Item Title,Publication Title,Book Series Title,Journal Volume,Journal Issue,Item DOI,Authors,Publication Year,URL,Content Type
"Data Mining in Social Network","Intelligent Interactive Multimedia Systems and Services","","","","10.1007/978-3-319-92231-7_6","Flora AmatoGiovanni CozzolinoFrancesco MoscatoVincenzo MoscatoAntonio PicarielloGiancarlo Sperli","2019","http://link.springer.com/chapter/10.1007/978-3-319-92231-7_6","Chapter"
"PCA Based Feature Selection Applied to the Analysis of the International Variation in Diet","Applications of Fuzzy Sets Theory","","","","10.1007/978-3-540-73400-0_70","Faraz BishehsariMahboobeh MahdaviniaReza MalekzadehRenato Mariani-CostantiniGennaro MieleFrancesco NapolitanoGiancarlo RaiconiRoberto TagliaferriFabio Verginelli","2007","http://link.springer.com/chapter/10.1007/978-3-540-73400-0_70","Chapter"
"Explainable Attentional Neural Recommendations for Personalized Social Learning","AIxIA 2020 – Advances in Artificial Intelligence","","","","10.1007/978-3-030-77091-4_5","Luca MarconiRicardo Anibal Matamoros AragonItalo ZoppisSara ManzoniGiancarlo MauriFrancesco Epifania","2021","http://link.springer.com/chapter/10.1007/978-3-030-77091-4_5","Chapter"
"Conclusions and Future Developments","Advanced Algorithms and Architectures for Speech Understanding","","","","10.1007/978-3-642-84341-9_6","Alberto CiaramellaGiancarlo PiraniClaudio Rullent","1990","http://link.springer.com/chapter/10.1007/978-3-642-84341-9_6","Chapter"
"Exploring Data Through Archetypes","Classification as a Tool for Research","","","","10.1007/978-3-642-10745-0_31","Maria Rosaria D’EspositoGiancarlo RagoziniDomenico Vistocco","2010","http://link.springer.com/chapter/10.1007/978-3-642-10745-0_31","Chapter"
"Coupled Use of Hydrologic-Hydraulic Model and Geomorphological Descriptors for Flood-Prone Areas Evaluation: A Case Study of Lama Lamasinata","Computational Science and Its Applications – ICCSA 2020","","","","10.1007/978-3-030-58811-3_44","Beatrice LioiAndrea GioiaVincenzo TotaroGabriella BalaccoVito IacobellisGiancarlo Chiaia","2020","http://link.springer.com/chapter/10.1007/978-3-030-58811-3_44","Chapter"
"Heuristic Evaluation of eGLU-Box: A Semi-automatic Usability Evaluation Tool for Public Administrations","Human-Computer Interaction. Perspectives on Design","","","","10.1007/978-3-030-22646-6_6","Stefano FedericiMaria Laura MeleRosa LanzilottiGiuseppe DesoldaMarco BracalentiArianna ButtafuocoGiancarlo GaudinoAntonello CoccoMassimo AmendolaEmilio Simonetti","2019","http://link.springer.com/chapter/10.1007/978-3-030-22646-6_6","Chapter"
"A Smart ChatBot for Specialist Domains","Web, Artificial Intelligence and Network Applications","","","","10.1007/978-3-030-44038-1_92","Roberto CanonicoGiovanni CozzolinoAntonino FerraroVincenzo MoscatoAntonio PicarielloFabio Raimondo SorrentinoGiancarlo Sperlì","2020","http://link.springer.com/chapter/10.1007/978-3-030-44038-1_92","Chapter"
"Constraining Mechanism Based Simulations to Identify Ensembles of Parametrizations to Characterize Metabolic Features","Computational Intelligence Methods for Bioinformatics and Biostatistics","","","","10.1007/978-3-319-67834-4_9","Riccardo ColomboChiara DamianiGiancarlo MauriDario Pescini","2017","http://link.springer.com/chapter/10.1007/978-3-319-67834-4_9","Chapter"
"A Duality in Two Connectivity-Preserving Parallel Shrinking Algorithms for Binary Images","Theory and Practical Issues on Cellular Automata","","","","10.1007/978-1-4471-0709-5_17","Hiroshi UmeoGiancarlo Mauri","2001","http://link.springer.com/chapter/10.1007/978-1-4471-0709-5_17","Chapter"
"Low Cost Hand-Tracking Devices to Design Customized Medical Devices","Virtual, Augmented and Mixed Reality","","","","10.1007/978-3-319-21067-4_36","Giorgio ColomboGiancarlo FacoettiCaterina RizziAndrea Vitali","2015","http://link.springer.com/chapter/10.1007/978-3-319-21067-4_36","Chapter"
"Preface to Onto.Com 2011","Advances in Conceptual Modeling. Recent Developments and New Directions","","","","10.1007/978-3-642-24574-9_21","Giancarlo GuizzardiOscar PastorYair Wand","2011","http://link.springer.com/chapter/10.1007/978-3-642-24574-9_21","Chapter"
"Robust Clustering by Aggregation and Intersection Methods","Knowledge-Based Intelligent Information and Engineering Systems","","","","10.1007/978-3-540-85567-5_91","Ida BifulcoCarmine FedulloFrancesco NapolitanoGiancarlo RaiconiRoberto Tagliaferri","2008","http://link.springer.com/chapter/10.1007/978-3-540-85567-5_91","Chapter"
"Photogrammetric Meshes and 3D Points Cloud Reconstruction: A Genetic Algorithm Optimization Procedure","Advances in Artificial Life, Evolutionary Computation, and Systems Chemistry","","","","10.1007/978-3-319-57711-1_6","Vitoantonio BevilacquaGianpaolo Francesco TrottaAntonio BrunettiGiuseppe BuonamassaMartino BruniGiancarlo DelfineMarco RiezzoMichele AmodioGiuseppe BellantuonoDomenico MagalettiLuca VerrinoAndrea Guerriero","2017","http://link.springer.com/chapter/10.1007/978-3-319-57711-1_6","Chapter"
"DIABESITY: A Study for mHealth Integrated Solutions","Wireless Mobile Communication and Healthcare","","","","10.1007/978-3-319-58877-3_26","Italo ZoppisGiancarlo MauriFerancesco SicurelloEugenio SantoroGiada PietrabissaGianluca Castelnuovo","2017","http://link.springer.com/chapter/10.1007/978-3-319-58877-3_26","Chapter"
"Using the Choquet Integral in the Pooling Layer in Deep Learning Networks","Fuzzy Information Processing","","","","10.1007/978-3-319-95312-0_13","Camila Alves DiasJéssica C. S. BuenoEduardo N. BorgesSilvia S. C. BotelhoGraçaliz Pereira DimuroGiancarlo LuccaJavier FernandézHumberto BustincePaulo Lilles Jorge Drews Junior","2018","http://link.springer.com/chapter/10.1007/978-3-319-95312-0_13","Chapter"
"More Intelligence and Less Clouds in Our Smart Homes","Economic and Policy Implications of Artificial Intelligence","","","","10.1007/978-3-030-45340-4_9","Giancarlo IannizzottoAndrea NucitaRosa Angela FabioTindara CaprìLucia Lo Bello","2020","http://link.springer.com/chapter/10.1007/978-3-030-45340-4_9","Chapter"
"A Multimodal Perceptual User Interface for Collaborative Environments","Image Analysis and Processing – ICIAP 2005","","","","10.1007/11553595_14","Giancarlo IannizzottoFrancesco La RosaCarlo CostanzoPietro Lanzafame","2005","http://link.springer.com/chapter/10.1007/11553595_14","Chapter"
"A Recommender System for Multimedia Art Collections","Intelligent Interactive Multimedia Systems and Services 2017","","","","10.1007/978-3-319-59480-4_21","Flora AmatoVincenzo MoscatoAntonio PicarielloGiancarlo Sperlí","2018","http://link.springer.com/chapter/10.1007/978-3-319-59480-4_21","Chapter"
"Modeling AIDS Spread in Social Networks","Multiagent System Technologies","","","","10.1007/978-3-642-40776-5_30","Muaz A. NiaziAmnah SiddiqaGiancarlo Fortino","2013","http://link.springer.com/chapter/10.1007/978-3-642-40776-5_30","Chapter"
"Table Compression","Encyclopedia of Algorithms","","","","10.1007/978-0-387-30162-4_418","Adam L. BuchsbaumRaffaele Giancarlo","2008","http://link.springer.com/referenceworkentry/10.1007/978-0-387-30162-4_418","ReferenceWorkEntry"
"Forming Groups in the Cloud of Things Using Trust Measures","Intelligent Distributed Computing XII","","","","10.1007/978-3-319-99626-4_26","Giancarlo FortinoLidia FotiaFabrizio MessinaDomenico RosaciGiuseppe M. L. Sarné","2018","http://link.springer.com/chapter/10.1007/978-3-319-99626-4_26","Chapter"
"The Development of Data Collectors in Open-Source System for Energy Efficiency Assessment","Open Source Systems","","","","10.1007/978-3-030-47240-5_2","Daniel AtongeVladimir IvanovArtem KruglovIlya KhomyakovAndrey SadovykhDragos StrugarGiancarlo SucciXavier Zelada VasquezEvgeny Zouev","2020","http://link.springer.com/chapter/10.1007/978-3-030-47240-5_2","Chapter"
"Towards Pragmatic Explanations for Domain Ontologies","Knowledge Engineering and Knowledge Management","","","","10.1007/978-3-031-17105-5_15","Elena RomanenkoDiego CalvaneseGiancarlo Guizzardi","2022","http://link.springer.com/chapter/10.1007/978-3-031-17105-5_15","Chapter"
"Indexed Two-Dimensional String Matching","Encyclopedia of Algorithms","","","","10.1007/978-1-4939-2864-4_442","Joong Chae NaPaolo FerraginaRaffaele GiancarloKunsoo Park","2016","http://link.springer.com/referenceworkentry/10.1007/978-1-4939-2864-4_442","ReferenceWorkEntry"
"*Thing: Improve Anything to Anything Collaboration","Advances in Information and Communication","","","","10.1007/978-3-030-12385-7_34","Giancarlo CortiLuca AmbrosiniRoberto GuidiNicola Rizzo","2020","http://link.springer.com/chapter/10.1007/978-3-030-12385-7_34","Chapter"
"Towards Semantics for Abstractions in Ontology-Driven Conceptual Modeling","Advances in Conceptual Modeling","","","","10.1007/978-3-031-47112-4_19","Elena RomanenkoOliver KutzDiego CalvaneseGiancarlo Guizzardi","2023","http://link.springer.com/chapter/10.1007/978-3-031-47112-4_19","Chapter"
"Design of a 3D-Printable Powered Prosthetic Hand for Transmetacarpal Amputees","Advances in Automation and Robotics Research in Latin America","","","","10.1007/978-3-319-54377-2_8","Renato MioLuis CcorimanyaKevin M. FloresGiancarlo SalazarDante Elías","2017","http://link.springer.com/chapter/10.1007/978-3-319-54377-2_8","Chapter"
